Crop,Year,Planted_Acreage,Harvested_Acreage,Production,Yield,Price
Corn,1926.00,99.66,83.28,2140.21,25.70,0.72
Corn,1927.00,98.46,83.92,2218.19,26.40,0.80
Corn,1928.00,100.40,85.83,2260.99,26.30,0.80
Corn,1929.00,99.13,83.19,2135.04,25.70,0.76
Corn,1930.00,103.92,85.53,1757.30,20.50,0.55
Corn,1931.00,109.36,91.13,2229.90,24.50,0.29
Corn,1932.00,113.02,97.21,2578.69,26.50,0.29
Corn,1933.00,109.83,92.13,2104.73,22.80,0.49
Corn,1934.00,100.56,61.25,1146.73,18.70,0.80
Corn,1935.00,99.97,82.55,2001.37,24.20,0.63
Corn,1936.00,101.96,67.83,1258.67,18.60,1.03
Corn,1937.00,97.17,81.22,2349.43,28.90,0.49
Corn,1938.00,94.47,82.79,2300.10,27.80,0.47
Corn,1939.00,91.64,78.31,2341.60,29.90,0.54
Corn,1940.00,88.69,76.44,2206.88,28.90,0.60
Corn,1941.00,86.84,77.40,2414.45,31.20,0.74
Corn,1942.00,88.82,79.21,2801.82,35.40,0.89
Corn,1943.00,94.34,81.91,2668.49,32.60,1.08
Corn,1944.00,95.48,85.00,2801.61,33.00,1.03
Corn,1945.00,89.26,77.93,2577.45,33.10,1.23
Corn,1946.00,88.90,78.41,2916.09,37.20,1.53
Corn,1947.00,85.04,73.80,2108.32,28.60,2.16
Corn,1948.00,85.52,76.84,3307.04,43.00,1.28
Corn,1949.00,86.74,77.11,2946.21,38.20,1.24
Corn,1950.00,82.86,72.40,2764.07,38.20,1.52
Corn,1951.00,83.28,71.19,2628.94,36.90,1.66
Corn,1952.00,82.23,71.35,2980.79,41.80,1.52
Corn,1953.00,81.57,70.74,2881.80,40.70,1.48
Corn,1954.00,82.19,68.67,2707.91,39.40,1.43
Corn,1955.00,80.93,68.46,2872.96,42.00,1.35
Corn,1956.00,77.83,64.88,3075.34,47.40,1.29
Corn,1957.00,73.18,63.07,3045.36,48.30,1.11
Corn,1958.00,73.35,63.55,3356.21,52.80,1.12
Corn,1959.00,82.74,72.09,3824.60,53.10,1.05
Corn,1960.00,81.43,71.42,3906.95,54.70,1.00
Corn,1961.00,65.92,57.63,3597.80,62.40,1.10
Corn,1962.00,65.02,55.73,3606.31,64.70,1.12
Corn,1963.00,68.77,59.23,4019.24,67.90,1.11
Corn,1964.00,65.82,55.37,3484.25,62.90,1.17
Corn,1965.00,65.17,55.39,4102.87,74.10,1.16
Corn,1966.00,66.35,57.00,4167.61,73.10,1.24
Corn,1967.00,71.16,60.69,4860.37,80.10,1.03
Corn,1968.00,65.13,55.98,4449.54,79.50,1.08
Corn,1969.00,64.26,54.57,4687.06,85.90,1.16
Corn,1970.00,66.86,57.36,4152.24,72.40,1.33
Corn,1971.00,74.18,64.12,5646.26,88.10,1.08
Corn,1972.00,67.13,57.51,5579.83,97.00,1.57
Corn,1973.00,72.25,62.14,5670.71,91.30,2.55
Corn,1974.00,77.94,65.41,4701.40,71.90,3.02
Corn,1975.00,78.72,67.63,5840.76,86.40,2.54
Corn,1976.00,84.59,71.51,6289.17,88.00,2.15
Corn,1977.00,84.33,71.61,6505.04,90.80,2.02
